code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,statut_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,commentaire_influence_generale_site,commentaire_site,libelle_departement
S2275110,Le ruisseau de Tagon à Biganos,STANDARD,383873.0,6403531.0,26,-0.98922007,44.659000227,7.0,0.0,1.0,1.0,S2270510,S2270510,['33051'],S227,['BIGANOS'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2270510,Ruisseau de Tagon,http://id.eaufrance.fr/CEA/S2270510,,,['GIRONDE']
S3124310,Le ruisseau des Forges à Parentis-en-Born,STANDARD,377155.0,6368087.0,26,-1.050921331,44.337264234,27.0,0.0,1.0,1.0,S31-0400,S3120400,['40217'],S312,['PARENTIS-EN-BORN'],['40'],['75'],['NOUVELLE-AQUITAINE'],S31-0400,Ruisseau des Forges,http://id.eaufrance.fr/CEA/S31-0400,,,['LANDES']
S3130001,La barade de Ligautenx à Pontenx-les-Forges,PONCTUEL,376098.0,6363311.0,26,-1.061081392,44.293841724,,,1.0,,S3130500,S3130500,['40229'],S313,['PONTENX-LES-FORGES'],['40'],['75'],['NOUVELLE-AQUITAINE'],S3130500,ruisseau de la pave,http://id.eaufrance.fr/CEA/S3130500,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S3145010,Le canal des Landes à Biscarrosse [Navarosse],STANDARD,367785.0,6378607.0,26,-1.175249727,44.427442047,20.0,2.0,2.0,1.0,S3--0252,S3100252,['40046'],S310,['BISCARROSSE'],['40'],['75'],['NOUVELLE-AQUITAINE'],S3--0252,Canal des Landes,http://id.eaufrance.fr/CEA/S3--0252,,,['LANDES']
S3200001,Le courant de Mimizan à Sainte-Eulalie-en-Born,PONCTUEL,364596.0,6358158.0,26,-1.201591223,44.242107681,,,1.0,,S3--0290,S3200290,['40257'],S320,['SAINTE-EULALIE-EN-BORN'],['40'],['75'],['NOUVELLE-AQUITAINE'],S3--0290,Courant de Mimizan,http://id.eaufrance.fr/CEA/S3--0290,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S3214010,Le ruisseau de Canteloup à Saint-Paul-en-Born,STANDARD,368573.0,6357015.0,26,-1.151111793,44.233726299,10.0,0.0,1.0,1.0,S32-0430,S3240430,['40278'],S324,['SAINT-PAUL-EN-BORN'],['40'],['75'],['NOUVELLE-AQUITAINE'],S32-0430,ruisseau de la forge-pontenx,http://id.eaufrance.fr/CEA/S32-0430,,Pas de débits du 27/07 au 01/12/1994 (centrale foudroyée).,['LANDES']
S3214011,Le ruisseau d'Escource à Escource,PONCTUEL,381653.0,6345239.0,26,-0.980140603,44.133932208,,,1.0,,S32-0400,S3210400,['40094'],S321,['ESCOURCE'],['40'],['75'],['NOUVELLE-AQUITAINE'],S32-0400,Ruisseau d'Escource,http://id.eaufrance.fr/CEA/S32-0400,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S3225010,Le ruisseau de Canteloup à Sainte-Eulalie-en-Born [Serbiat],STANDARD,368542.0,6357016.0,26,-1.15150001,44.233720625,6.0,2.0,2.0,3.0,S32-0430,S3240430,['40257'],S324,['SAINTE-EULALIE-EN-BORN'],['40'],['75'],['NOUVELLE-AQUITAINE'],S32-0430,ruisseau de la forge-pontenx,http://id.eaufrance.fr/CEA/S32-0430,,,['LANDES']
S3225011,Le ruisseau de Yosse à Saint-Paul-en-Born,PONCTUEL,369410.0,6350724.0,26,-1.13652366,44.17757469,,,1.0,,S3220560,S3220560,['40278'],S322,['SAINT-PAUL-EN-BORN'],['40'],['75'],['NOUVELLE-AQUITAINE'],S3220560,Ruisseau de Yosse,http://id.eaufrance.fr/CEA/S3220560,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S4070001,Le ruisseau du Mouréou à Lit-et-Mixe,PONCTUEL,358883.0,6334892.0,26,-1.257321177,44.030247569,,,1.0,,S4070550,S4070550,['40157'],S407,['LIT-ET-MIXE'],['40'],['75'],['NOUVELLE-AQUITAINE'],S4070550,Ruisseau du Mouréou,http://id.eaufrance.fr/CEA/S4070550,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
